"display_label","internal_route","parent_menu","sub_menu_path","persona_visibility","feature_purpose","frontend_source","backend_dependencies","entry_conditions","exit_actions","exposed","dependency_flags"
"DIGILOCKER","/digilocker or /qms/vault","ASSETS","ASSETS > DIGILOCKER","supplier,supplierUser,buyer,auditor,admin,tenant_admin,superadmin","Document vault, sharing, redaction","constant/app-config.ts + components/layout/Drawer/SidebarNav.tsx","/api/digilocker/*,/api/documents*","Vault entitlement + role","Attach docs to questionnaire/audit","UI","VaultLite/VaultFull module entitlements switch route"
"SITES","/sites","ASSETS","ASSETS > SITES","admin,supplier","Supplier manufacturing site master data","constant/app-config.ts","/api/supplier-sites/*","Supplier/admin","Map products/sites","UI","None"
"API_LIBRARY","/library/apis","ASSETS","ASSETS > API_LIBRARY","admin,supplier,supplierUser,buyer,auditor,tenant_admin,superadmin","API master reference and claims","constant/app-config.ts","/api/api-master/*,/api/supplier-products/*","Role allowed","Claim API and map to plants","UI","None"
"MASS_UPLOAD","/mass-upload","ASSETS","ASSETS > MASS_UPLOAD","admin,supplier","Bulk uploads for master data","constant/app-config.ts","/api/mass-upload* or upload handlers","Supplier/admin","Bulk import completion","UI","None"
"INTEGRATION","/integrations","ASSETS","ASSETS > INTEGRATION","admin,supplier,buyer,auditor,tenant_admin,superadmin","External integration connections","constant/app-config.ts","/api/integrations/*","Role + integration permission","Connection detail/run","UI","None"
"USERS","/users","ADMIN","ADMIN > USERS","supplier (excluding supplier sub-users)","Supplier user management","constant/app-config.ts + SidebarNav.tsx","/api/profile/supplier/users,/api/profile/supplier-user/*","Supplier admin not invited sub-user","Add/edit users","UI","Hidden for supplierUser and invited supplier accounts"
"NOTIFICATION_PREFERENCES","/workspace/notification-preferences","ADMIN","ADMIN > NOTIFICATION_PREFERENCES","all major roles","Notification channel preferences","constant/app-config.ts","/api/notification-preferences*","Authenticated","Saved preference updates notification behavior","UI","None"
"RAG_VECTORS","/admin/rag-vectors","ADMIN","ADMIN > RAG_VECTORS","admin,superadmin","Compliance guideline vector ingestion","constant/app-config.ts","/api/compliance/standards/*","Admin/superadmin","Vector refresh impacts compliance checks","UI","Audit module gate in SidebarNav"
"ASKHAWK_ADMIN","/admin/askhawk","ADMIN","ADMIN > ASKHAWK_ADMIN","admin,superadmin,tenant_admin","AskHawk KB sync + unanswered","constant/app-config.ts","/api/askhawk/*","Role + tenant/platform context","KB refreshed, unanswered triage","UI","ASKHAWK feature flag + audit module entitlement gate"
"SETTINGS","/settings","ADMIN","ADMIN > SETTINGS","all major roles","Profile/settings","constant/app-config.ts","/api/profile/*,/api/admin/company","Authenticated","Update profile and settings","UI","None"
